Species,Count
American  Elm,2
American Basswood,1
American Elm,6
American Holly,18
American Hornbeam,2
American Linden,13
American Witch Hazel,1
Apple Serviceberry,4
Arborvitae,4
Bald Cypress,6
Beech,2
Bur Oak,1
Catalpa,2
Dogwood,10
Eastern Red Cedar,5
Freeman Maple,11
Hackberry,1
Honey Locust,8
Hop Hornbeam,4
Loblolly Pine,10
Ns Holly,5
Nuttall Oak,8
Pawpaw,2
Persimmon,10
Prince Oak,3
Red Maple,17
Redbud,11
River Birch,23
Southern Magnolia,31
Swamp White Oak,15
Sweetbay Magnolia,18
Sweetgum,6
Sycamore,5
Tulip Poplar,3
Tulip Tree,4
White Oak,7
Willow Oak,4
